REGIJA,STEV_UCENCEV,VZROK,TRAJANJE
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Koroška,srednje,Okužba s Covid-19 pri učitelju,9 days
Podravska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,5 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,6 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,12 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,12 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,6 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Pomurska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,zelo veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,6 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Obalno-kraška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri vzgojitelju,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,7 days
Zasavska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Podravska,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,5 days
Gorenjska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Pomurska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učitelju,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,8 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,6 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Pomurska,zelo malo,Okužba s Covid-19 pri drugem delavcu,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,zelo veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,6 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,2 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Obalno-kraška,srednje,Okužba s Covid-19 pri vzgojitelju,10 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Obalno-kraška,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,9 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Pomurska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,6 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učitelju,9 days
Pomurska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Obalno-kraška,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Podravska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Posavska,srednje,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Gorenjska,malo,Okužba s Covid-19 pri učitelju,7 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,11 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Podravska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Goriška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Zasavska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Obalno-kraška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,9 days
Obalno-kraška,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Posavska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Pomurska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Goriška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,4 days
Podravska,zelo veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Zasavska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Koroška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Savinjska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Primorsko-notranjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,5 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Zasavska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Zasavska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,16 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Obalno-kraška,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,4 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,1 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Podravska,zelo malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,zelo malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Savinjska,veliko,Sum na okužbo s Covid-19 pri učitelju,7 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Jugovzhodna Slovenija,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Zasavska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Zasavska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učitelju,4 days
Pomurska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Obalno-kraška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,4 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,12 days
Podravska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,11 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,12 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,14 days
Savinjska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Goriška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Koroška,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,2 days
Pomurska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Podravska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Savinjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Obalno-kraška,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,6 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,5 days
Zasavska,malo,Okužba s Covid-19 pri drugem delavcu,9 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Obalno-kraška,srednje,Okužba s Covid-19 pri učitelju,7 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,9 days
Koroška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,9 days
Goriška,zelo malo,Okužba s Covid-19 pri učitelju,4 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Goriška,malo,Okužba s Covid-19 pri učitelju,6 days
Koroška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Goriška,veliko,Okužba s Covid-19 pri učitelju,5 days
Posavska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Goriška,srednje,Okužba s Covid-19 pri učitelju,8 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Podravska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri drugem delavcu,9 days
Podravska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,3 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Obalno-kraška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Posavska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Pomurska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,3 days
Goriška,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Goriška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Zasavska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Posavska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Pomurska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,4 days
Posavska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,3 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
